,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
65,66,MS,CAI,2023-01-01 22:35:00,SSH,0 days 01:00:00,0,B738,162,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 23:35:00,[66],0,0 days 00:00:00,0 days 00:00:00,,
94,95,NP,CAI,2023-01-01 16:45:00,SSH,0 days 01:00:00,0,A320,150,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 17:45:00,[95],0,0 days 00:00:00,0 days 00:00:00,,
145,146,SM,CAI,2023-01-01 12:20:00,SSH,0 days 01:30:00,1,ATR,70,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 13:50:00,[146],0,0 days 00:00:00,0 days 00:00:00,,
146,147,SM,CAI,2023-01-01 16:40:00,SSH,0 days 01:30:00,1,ATR,70,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 18:10:00,[147],0,0 days 00:00:00,0 days 00:00:00,,
147,148,SM,CAI,2023-01-01 19:10:00,SSH,0 days 01:00:00,0,A320,150,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 20:10:00,[148],0,0 days 00:00:00,0 days 00:00:00,,
148,149,SM,CAI,2023-01-01 08:00:00,SSH,0 days 01:30:00,1,ATR,70,376,55,0,CAI -> SSH,CAI_SSH,2023-01-01 09:30:00,[149],0,0 days 00:00:00,0 days 00:00:00,,
149,150,SM,HBE,2023-01-01 13:15:00,HMB,0 days 01:15:00,0,A320,150,545,55,0,HBE -> HMB,HBE_HMB,2023-01-01 14:30:00,[150],0,0 days 00:00:00,0 days 00:00:00,,
66,67,MS,HMB,2023-01-01 18:40:00,ASW,0 days 04:50:00,0,B738,150,1125,55,0,HMB -> ATZ -> CAI -> ASW,HMB_ASW,2023-01-01 23:30:00,"[67, 30, 48]",3,0 days 00:40:00,0 days 01:10:00,ATZ,CAI
150,151,SM,HMB,2023-01-01 05:30:00,ASW,0 days 05:25:00,0,A320,150,960,55,0,HMB -> CAI -> ASW,HMB_ASW,2023-01-01 10:55:00,"[151, 119]",1,0 days 03:00:00,0 days 00:00:00,CAI,
150,151,SM,HMB,2023-01-01 05:30:00,ASW,0 days 05:25:00,0,A320,150,960,55,0,HMB -> CAI -> ASW,HMB_ASW,2023-01-01 10:55:00,"[151, 120]",1,0 days 03:00:00,0 days 00:00:00,CAI,
66,67,MS,HMB,2023-01-01 18:40:00,ATZ,0 days 00:40:00,0,B738,162,107,55,0,HMB -> ATZ,HMB_ATZ,2023-01-01 19:20:00,[67],0,0 days 00:00:00,0 days 00:00:00,,
67,68,MS,HMB,2023-01-01 21:45:00,CAI,0 days 01:00:00,0,B738,162,261,55,0,HMB -> CAI,HMB_CAI,2023-01-01 22:45:00,[68],0,0 days 00:00:00,0 days 00:00:00,,
66,67,MS,HMB,2023-01-01 18:40:00,CAI,0 days 02:15:00,0,B738,150,426,55,0,HMB -> ATZ -> CAI,HMB_CAI,2023-01-01 20:55:00,"[67, 30]",2,0 days 00:40:00,0 days 00:00:00,ATZ,
150,151,SM,HMB,2023-01-01 05:30:00,CAI,0 days 01:00:00,0,A320,150,261,55,0,HMB -> CAI,HMB_CAI,2023-01-01 06:30:00,[151],0,0 days 00:00:00,0 days 00:00:00,,
66,67,MS,HMB,2023-01-01 18:40:00,HRG,0 days 04:50:00,0,B738,150,828,55,0,HMB -> ATZ -> CAI -> HRG,HMB_HRG,2023-01-01 23:30:00,"[67, 30, 54]",3,0 days 00:40:00,0 days 01:35:00,ATZ,CAI
150,151,SM,HMB,2023-01-01 05:30:00,HRG,0 days 05:15:00,0,A320,150,663,55,0,HMB -> CAI -> HRG,HMB_HRG,2023-01-01 10:45:00,"[151, 130]",1,0 days 02:55:00,0 days 00:00:00,CAI,
150,151,SM,HMB,2023-01-01 05:30:00,HRG,0 days 04:55:00,1,A320,70,743,55,0,HMB -> CAI -> SSH -> HRG,HMB_HRG,2023-01-01 10:25:00,"[151, 149, 179]",3,0 days 01:30:00,0 days 00:25:00,CAI,SSH
66,67,MS,HMB,2023-01-01 18:40:00,LXR,0 days 04:05:00,0,B738,150,933,55,0,HMB -> ATZ -> CAI -> LXR,HMB_LXR,2023-01-01 22:45:00,"[67, 30, 60]",3,0 days 00:40:00,0 days 00:50:00,ATZ,CAI
66,67,MS,HMB,2023-01-01 18:40:00,LXR,0 days 04:20:00,0,B738,150,933,55,0,HMB -> ATZ -> CAI -> LXR,HMB_LXR,2023-01-01 23:00:00,"[67, 30, 61]",3,0 days 00:40:00,0 days 01:05:00,ATZ,CAI
150,151,SM,HMB,2023-01-01 05:30:00,LXR,0 days 05:35:00,1,A320,70,768,55,0,HMB -> CAI -> LXR,HMB_LXR,2023-01-01 11:05:00,"[151, 136]",2,0 days 03:00:00,0 days 00:00:00,CAI,
150,151,SM,HMB,2023-01-01 05:30:00,LXR,0 days 05:00:00,0,A320,106,768,55,1,HMB -> CAI -> LXR,HMB_LXR,2023-01-01 10:30:00,"[151, 137]",2,0 days 03:00:00,0 days 00:00:00,CAI,
